Event name,startDate,startTime,endDate,endTime
Breakfast and Morning Routine,2024-11-26,- 08:00,2024-11-26,09:15
Europcar,2024-11-26,- 09:15,2024-11-26,09:45
Break,2024-11-26,- 09:45,2024-11-26,10:00
Social Robot for ADHD Capstone,2024-11-26,- 10:00,2024-11-26,11:00
Break,2024-11-26,- 11:00,2024-11-26,11:15
Review lecture slides (Study for Math test),2024-11-26,- 11:15,2024-11-26,12:15
Lunch,2024-11-26,- 12:15,2024-11-26,13:15
Brainstorm (Write an Essay),2024-11-26,- 13:15,2024-11-26,14:15
Break,2024-11-26,- 14:15,2024-11-26,14:30
Read research papers (Capstone),2024-11-26,- 14:30,2024-11-26,15:30
Break,2024-11-26,- 15:30,2024-11-26,15:45
Flexible Study Time,2024-11-26,- 15:45,2024-11-26,17:00
Break,2024-11-26,- 17:00,2024-11-26,17:15
Exercise/Physical Activity,2024-11-26,- 17:15,2024-11-26,18:15
Dinner,2024-11-26,- 18:15,2024-11-26,19:15
Relaxation/Free Time,2024-11-26,- 19:15,2024-11-26,20:00
